ArticleItem;LT_Revision;Product Group;Installation;Optic;Beam & Material;Modulation;Power Supply;/;Lampcolor;Length;Light Direct;Light Indirect;Driver;Trough wiring;Colour;LLMF 50kh;Error Code;Luminous flux (lumen);Power (Watt);Power factor;Luminous flux uplight;Luminous flux downlight;UGR;Shielding angle C0;Shielding angle C90;Number of drivers
V3RB13C/N6M0D0X2;_LTRevAA;V3;R;B;1;3;C;/;N;6;M;0;D;0;X2;0.962100681;0;5600;27;0.96;0;5600;19;60;65;1
V3RB13C/W3M0D0X0;_LTRevAA;V3;R;B;1;3;C;/;W;3;M;0;D;0;X0;0.956709417;0;2750;34;0.9;0;2750;19;60;65;1
V3RB13C/W3M0D0X1;_LTRevAA;V3;R;B;1;3;C;/;W;3;M;0;D;0;X1;0.956709417;0;2750;34;0.9;0;2750;19;60;65;1
V3RB13C/W3M0D0X2;_LTRevAA;V3;R;B;1;3;C;/;W;3;M;0;D;0;X2;0.956709417;0;2750;34;0.9;0;2750;19;60;65;1
V3RB13C/W4M0D0X0;_LTRevAA;V3;R;B;1;3;C;/;W;4;M;0;D;0;X0;0.956709417;0;3600;40;0.93;0;3600;19;60;65;1
V3RB13C/W4M0D0X1;_LTRevAA;V3;R;B;1;3;C;/;W;4;M;0;D;0;X1;0.956709417;0;3600;40;0.93;0;3600;19;60;65;1
V3RB13C/W4M0D0X2;_LTRevAA;V3;R;B;1;3;C;/;W;4;M;0;D;0;X2;0.956709417;0;3600;40;0.93;0;3600;19;60;65;1
V3RB13C/W5M0D0X0;_LTRevAA;V3;R;B;1;3;C;/;W;5;M;0;D;0;X0;0.956709417;0;4500;22;0.95;0;4500;19;60;65;1
V3RB13C/W5M0D0X1;_LTRevAA;V3;R;B;1;3;C;/;W;5;M;0;D;0;X1;0.956709417;0;4500;22;0.95;0;4500;19;60;65;1
V3RB13C/W5M0D0X2;_LTRevAA;V3;R;B;1;3;C;/;W;5;M;0;D;0;X2;0.956709417;0;4500;22;0.95;0;4500;19;60;65;1
V3RB13C/W6M0D0X0;_LTRevAA;V3;R;B;1;3;C;/;W;6;M;0;D;0;X0;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB13C/W6M0D0X1;_LTRevAA;V3;R;B;1;3;C;/;W;6;M;0;D;0;X1;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB13C/W6M0D0X2;_LTRevAA;V3;R;B;1;3;C;/;W;6;M;0;D;0;X2;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB30M/N3M0D0X0;_LTRevAA;V3;R;B;3;0;M;/;N;3;M;0;D;0;X0;0.977876277;32768;2250;34;0.84;0;2250;19;60;60;1
V3RB30M/N3M0D0X1;_LTRevAA;V3;R;B;3;0;M;/;N;3;M;0;D;0;X1;0.977876277;32768;2250;34;0.84;0;2250;19;60;60;1
V3RB30M/N3M0D0X2;_LTRevAA;V3;R;B;3;0;M;/;N;3;M;0;D;0;X2;0.977876277;32768;2250;34;0.84;0;2250;19;60;60;1
V3RB30M/N4M0D0X0;_LTRevAA;V3;R;B;3;0;M;/;N;4;M;0;D;0;X0;0.977876277;32768;2900;40;0.88;0;2900;19;60;60;1
V3RB30M/N4M0D0X1;_LTRevAA;V3;R;B;3;0;M;/;N;4;M;0;D;0;X1;0.977876277;32768;2900;40;0.88;0;2900;19;60;60;1
V3RB30M/N4M0D0X2;_LTRevAA;V3;R;B;3;0;M;/;N;4;M;0;D;0;X2;0.977876277;32768;2900;40;0.88;0;2900;19;60;60;1
V3RB30M/N5M0D0X0;_LTRevAA;V3;R;B;3;0;M;/;N;5;M;0;D;0;X0;0.977876277;0;3650;13;0.91;0;3650;19;60;60;1
V3RB30M/N5M0D0X1;_LTRevAA;V3;R;B;3;0;M;/;N;5;M;0;D;0;X1;0.977876277;0;3650;13;0.91;0;3650;19;60;60;1
V3RB30M/N5M0D0X2;_LTRevAA;V3;R;B;3;0;M;/;N;5;M;0;D;0;X2;0.977876277;0;3650;13;0.91;0;3650;19;60;60;1
V3RB30M/N6M0D0X0;_LTRevAA;V3;R;B;3;0;M;/;N;6;M;0;D;0;X0;0.977876277;0;4400;18;0.93;0;4400;19;60;60;1
V3RB30M/N6M0D0X1;_LTRevAA;V3;R;B;3;0;M;/;N;6;M;0;D;0;X1;0.977876277;0;4400;18;0.93;0;4400;19;60;60;1
V3RB30M/N6M0D0X2;_LTRevAA;V3;R;B;3;0;M;/;N;6;M;0;D;0;X2;0.977876277;0;4400;18;0.93;0;4400;19;60;60;1
V3RB30M/W3M0D0X0;_LTRevAA;V3;R;B;3;0;M;/;W;3;M;0;D;0;X0;0.975530365;32768;2150;22;0.84;0;2150;19;60;60;1
V3RB30M/W3M0D0X1;_LTRevAA;V3;R;B;3;0;M;/;W;3;M;0;D;0;X1;0.975530365;32768;2150;22;0.84;0;2150;19;60;60;1
V3RB30M/W3M0D0X2;_LTRevAA;V3;R;B;3;0;M;/;W;3;M;0;D;0;X2;0.975530365;32768;2150;22;0.84;0;2150;19;60;60;1
V3RB30M/W4M0D0X0;_LTRevAA;V3;R;B;3;0;M;/;W;4;M;0;D;0;X0;0.975530365;32768;2800;27;0.88;0;2800;19;60;60;1
V3RB30M/W4M0D0X1;_LTRevAA;V3;R;B;3;0;M;/;W;4;M;0;D;0;X1;0.975530365;32768;2800;27;0.88;0;2800;19;60;60;1
V3RB30M/W4M0D0X2;_LTRevAA;V3;R;B;3;0;M;/;W;4;M;0;D;0;X2;0.975530365;32768;2800;27;0.88;0;2800;19;60;60;1
V3RB30M/W5M0D0X0;_LTRevAA;V3;R;B;3;0;M;/;W;5;M;0;D;0;X0;0.975530365;0;3500;31;0.91;0;3500;19;60;60;1
V3RB30M/W5M0D0X1;_LTRevAA;V3;R;B;3;0;M;/;W;5;M;0;D;0;X1;0.975530365;0;3500;31;0.91;0;3500;19;60;60;1
V3RB30M/W5M0D0X2;_LTRevAA;V3;R;B;3;0;M;/;W;5;M;0;D;0;X2;0.975530365;0;3500;31;0.91;0;3500;19;60;60;1
V3RB30M/W6M0D0X0;_LTRevAA;V3;R;B;3;0;M;/;W;6;M;0;D;0;X0;0.975530365;0;4200;13;0.93;0;4200;19;60;60;1
V3RB30M/W6M0D0X1;_LTRevAA;V3;R;B;3;0;M;/;W;6;M;0;D;0;X1;0.975530365;0;4200;13;0.93;0;4200;19;60;60;1
V3RB30M/W6M0D0X2;_LTRevAA;V3;R;B;3;0;M;/;W;6;M;0;D;0;X2;0.975530365;0;4200;13;0.93;0;4200;19;60;60;1
V3RB31M/N3M0D5X0;_LTRevAA;V3;R;B;3;1;M;/;N;3;M;0;D;5;X0;0.977876277;32768;2250;18;0.84;0;2250;19;60;60;1
V3RB31M/N3M0D5X1;_LTRevAA;V3;R;B;3;1;M;/;N;3;M;0;D;5;X1;0.977876277;32768;2250;18;0.84;0;2250;19;60;60;1
V3RB31M/N3M0D5X2;_LTRevAA;V3;R;B;3;1;M;/;N;3;M;0;D;5;X2;0.977876277;32768;2250;18;0.84;0;2250;19;60;60;1
V3RB31M/N4M0D5X0;_LTRevAA;V3;R;B;3;1;M;/;N;4;M;0;D;5;X0;0.977876277;32768;2900;22;0.88;0;2900;19;60;60;1
V3RB31M/N4M0D5X1;_LTRevAA;V3;R;B;3;1;M;/;N;4;M;0;D;5;X1;0.977876277;32768;2900;22;0.88;0;2900;19;60;60;1
V3RB31M/N4M0D5X2;_LTRevAA;V3;R;B;3;1;M;/;N;4;M;0;D;5;X2;0.977876277;32768;2900;22;0.88;0;2900;19;60;60;1
V3RB31M/N5M0D5X0;_LTRevAA;V3;R;B;3;1;M;/;N;5;M;0;D;5;X0;0.977876277;0;3650;27;0.91;0;3650;19;60;60;1
V3RB31M/N5M0D5X1;_LTRevAA;V3;R;B;3;1;M;/;N;5;M;0;D;5;X1;0.977876277;0;3650;27;0.91;0;3650;19;60;60;1
V3RB31M/N5M0D5X2;_LTRevAA;V3;R;B;3;1;M;/;N;5;M;0;D;5;X2;0.977876277;0;3650;27;0.91;0;3650;19;60;60;1
V3RB31M/N6M0D5X0;_LTRevAA;V3;R;B;3;1;M;/;N;6;M;0;D;5;X0;0.977876277;0;4400;31;0.93;0;4400;19;60;60;1
V3RB31M/N6M0D5X1;_LTRevAA;V3;R;B;3;1;M;/;N;6;M;0;D;5;X1;0.977876277;0;4400;31;0.93;0;4400;19;60;60;1
V3RB31M/N6M0D5X2;_LTRevAA;V3;R;B;3;1;M;/;N;6;M;0;D;5;X2;0.977876277;0;4400;31;0.93;0;4400;19;60;60;1
V3RB31M/W3M0D5X0;_LTRevAA;V3;R;B;3;1;M;/;W;3;M;0;D;5;X0;0.975530365;32768;2150;18;0.84;0;2150;19;60;60;1
V3RB31M/W3M0D5X1;_LTRevAA;V3;R;B;3;1;M;/;W;3;M;0;D;5;X1;0.975530365;32768;2150;18;0.84;0;2150;19;60;60;1
V3RB31M/W3M0D5X2;_LTRevAA;V3;R;B;3;1;M;/;W;3;M;0;D;5;X2;0.975530365;32768;2150;18;0.84;0;2150;19;60;60;1
V3RB31M/W4M0D5X0;_LTRevAA;V3;R;B;3;1;M;/;W;4;M;0;D;5;X0;0.975530365;32768;2800;22;0.88;0;2800;19;60;60;1
V3RB31M/W4M0D5X1;_LTRevAA;V3;R;B;3;1;M;/;W;4;M;0;D;5;X1;0.975530365;32768;2800;22;0.88;0;2800;19;60;60;1
